Region,Subregion,name,Drug,retail_price,retail_unit,retail_year,wholesale_price,wholesale_unit,wholesale_year
Europe,Eastern Europe,Belarus,Cocaine salts,110.00,Gram,2013,75000.00,Kilogram,2013
Europe,Western & Central Europe,Andorra,Cocaine salts,,,,77319.59,Kilogram,2012
Europe,Western & Central Europe,Estonia,Cocaine salts,131.59,Gram,2014,78956.81,Kilogram,2014
Europe,Eastern Europe,Belarus,Coca paste/cocaine base,120.00,Gram,2009,80000.00,Kilogram,2009
Europe,Eastern Europe,Russian Federation,Cocaine salts,206.00,Gram,2012,80000.00,Kilogram,2014
Asia,East and South-East Asia,Cambodia,Cocaine salts,,,,80000.00,Kilogram,2011
Asia,Near and Middle East /South-West Asia,Jordan,Cocaine salts,126.25,Gram,2009,84166.82,Kilogram,2009
Asia,East and South-East Asia,Japan,Cocaine salts,,,,88385.27,Kilogram,2007
Asia,Near and Middle East /South-West Asia,Jordan,Coca paste/cocaine base,,Gram,2008,91127.03,Kilogram,2008
Asia,South Asia,Sri Lanka,Cocaine salts,122.37,Gram,2013,91778.20,Kilogram,2013
Asia,Near and Middle East /South-West Asia,Israel,Cocaine salts,113.00,Gram,2011,95834.40,Kilogram,2014
Asia,East and South-East Asia,Indonesia,Coca paste/cocaine base,96.52,Gram,2009,96523.23,Kilogram,2009
Europe,Western & Central Europe,Slovakia,Cocaine salts,,,,99353.54,Kilogram,2010
Asia,Near and Middle East /South-West Asia,Pakistan,Cocaine base,202.59,Gram,2014,101314.09,Kilogram,2014
Asia,Near and Middle East /South-West Asia,Pakistan,Coca paste/cocaine base,118.67,Gram,2010,106800.84,Kilogram,2010
Asia,Near and Middle East /South-West Asia,Pakistan,Cocaine salts,127.93,Gram,2013,108097.61,Kilogram,2013
Europe,Eastern Europe,Ukraine,Cocaine salts,,,,160000.00,Kilogram,2009
Asia,Near and Middle East /South-West Asia,Saudi Arabia,Coca paste/cocaine base,133.53,Gram,2010,170666.67,Kilogram,2008
Oceania,Oceania,Australia,Cocaine salts,414.80,Gram,2014,176438.11,Kilogram,2014
Asia,Near and Middle East /South-West Asia,Saudi Arabia,Crack,,,,202319.77,Kilogram,2008
Africa,Western and Central Africa,Benin,Cocaine salts,30.33,Gram,2010,,,
Africa,Western and Central Africa,Cameroon,Cocaine salts,31.33,Gram,2007,,,
Africa,Western and Central Africa,C�te d'Ivoire,Cocaine salts,40.44,Gram,2010,,,
Africa,Western and Central Africa,Nigeria,Coca paste/cocaine base,8.14,Gram,2009,,,
Americas,Caribbean,Saint Kitts and Nevis,Crack,7.37,Gram,2009,,,
Europe,Western & Central Europe,Czech Republic,Cocaine salts,102.42,Gram,2013,,,
Europe,Western & Central Europe,Latvia,Cocaine salts,111.86,Gram,2014,,,
Europe,Western & Central Europe,Norway,Cocaine salts,126.70,Gram,2013,,,
Europe,Western & Central Europe,Portugal,Cocaine salts,62.68,Gram,2013,,,
Europe,Western & Central Europe,Sweden,Cocaine salts,127.36,Gram,2014,,,
Europe,Western & Central Europe,United Kingdom,Crack,93.17,Gram,2014,,,
Africa,Southern Africa,Botswana,Crack,10.00,Gram,2014,,,
Africa,Southern Africa,South Africa,Cocaine salts,32.67,Gram,2009,,,
Africa,Southern Africa,South Africa,Crack,7.00,Gram,2009,,,
Africa,Southern Africa,Zimbabwe,Cocaine salts,7.43,Gram,2006,,,
Africa,Western and Central Africa,Burkina Faso,Coca paste/cocaine base,71.70,Gram,2008,,,
Africa,Western and Central Africa,Burkina Faso,Crack,56.01,Gram,2008,,,
Africa,Western and Central Africa,Gabon,Cocaine salts,92.17,Gram,2006,,,
Africa,Western and Central Africa,Mali,Cocaine salts,62.67,Gram,2007,,,
Americas,Caribbean,Dominica,Crack,55.00,Gram,2005,,,
Americas,Caribbean,Dominican Republic,Crack,2.73,Gram,2010,,,
Americas,Caribbean,Trinidad and Tobago,Coca paste/cocaine base,0.80,Gram,2009,,,
Americas,Central America,El Salvador,Cocaine base,1.00,Gram,2013,,,
Americas,Central America,Honduras,Cocaine salts,7.62,Gram,2006,,,
Americas,Northern America,Canada,Coca paste/cocaine base,81.16,Gram,2011,,,
Americas,South America,Brazil,Cocaine salts,12.00,Gram,2005,,,
Americas,South America,Chile,Coca paste/cocaine base,10.41,Gram,2011,,,
Americas,South America,Colombia,Cocaine salts,3.50,Gram,2008,,,
Asia,Central Asia and Transcaucasian countries,Kazakhstan,Cocaine salts,301.58,Gram,2014,,,
Asia,East and South-East Asia,Indonesia,Cocaine salts,115.00,Gram,2014,,,
Asia,East and South-East Asia,Japan,Cocaine salts,497.22,Gram,2014,,,
Asia,East and South-East Asia,"Macao SAR, China",Cocaine salts,225.00,Gram,2014,,,
Asia,East and South-East Asia,Malaysia,Cocaine salts,47.38,Gram,2014,,,
Asia,Near and Middle East /South-West Asia,Bahrain,Cocaine salts,159.11,Gram,2005,,,
Asia,Near and Middle East /South-West Asia,Bahrain,Crack,266.79,Gram,2008,,,
Asia,Near and Middle East /South-West Asia,Iran (Islamic Republic of),Cocaine salts,126.28,Gram,2005,,,
Asia,Near and Middle East /South-West Asia,Kuwait,Cocaine salts,309.28,Gram,2005,,,
Asia,Near and Middle East /South-West Asia,Saudi Arabia,Cocaine salts,213.65,Gram,2010,,,
Europe,Eastern Europe,Republic of Moldova,Cocaine salts,181.54,Gram,2014,,,
Europe,Eastern Europe,Russian Federation,Coca paste/cocaine base,150.00,Gram,2007,,,
Europe,Eastern Europe,Ukraine,Coca paste/cocaine base,200.00,Gram,2014,,,
Europe,Eastern Europe,Ukraine,Crack,250.00,Gram,2007,,,
