country,region,subregion,specifics,,retail_price,retail_punit,retail_year,wholesale_price,wholesale_unit,wholesale_year
Jordan,Asia,Near and Middle East /South-West Asia,Hashish (resin),,21,Gram,2009,1402.8,Kilogram,2009
Libya,Africa,Northern Africa,Hashish (resin),,15.4,Gram,2005,1377.9,Kilogram,2005
Algeria,Africa,Northern Africa,Hashish (resin),,1.9,Gram,2013,1376,Kilogram,2014
Gambia,Africa,Western and Central Africa,Hashish (resin),,1.5,Gram,2007,1357,Kilogram,2007
Ireland,Europe,Western & Central Europe,Hashish (resin),,7.9,Gram,2014,1315.9,Kilogram,2014
The former Yugoslav Republic of Macedonia,Europe,South-Eastern Europe,Marijuana (herb),,5.3,Gram,2014,1250.1,Kilogram,2014
Albania,Europe,South-Eastern Europe,Cannabis oil,,,,,1250,Kilogram,2005
Lebanon,Asia,Near and Middle East /South-West Asia,Marijuana (herb),,8,Gram,2012,1200,Kilogram,2012
Montenegro,Europe,South-Eastern Europe,Marijuana (herb),,26.3,Gram,2014,1184.4,Kilogram,2014
Serbia,Europe,South-Eastern Europe,Hashish (resin),,3.7,Gram,2008,1102.9,Kilogram,2008
Bangladesh,Asia,Near and Middle East /South-West Asia,Hashish (resin),,2.2,Gram,2006,1100,Kilogram,2006
Kyrgyzstan,Asia,Central Asia and Transcaucasian countries,Cannabis oil,,,,,1100,Kilogram,2011
Republic of Korea,Asia,East and South-East Asia,Marijuana (herb),,2.8,Gram,2013,0.9,Kilogram,2013
Belarus,Europe,Eastern Europe,Hashish (resin),,17,Gram,2013,13000,Kilogram,2013
Russian Federation,Europe,Eastern Europe,Cannabis oil,,19.9,Gram,2011,12561,Kilogram,2011
Andorra,Europe,Western & Central Europe,Hashish (resin),,,,,11600,Kilogram,2012
Andorra,Europe,Western & Central Europe,Marijuana (herb),,,,,8100,Kilogram,2012
Belarus,Europe,Eastern Europe,Marijuana (herb),,13,Gram,2013,5000,Kilogram,2013
Poland,Europe,Western & Central Europe,Marijuana (herb),,7.1,Gram,2014,4200,Kilogram,2014
Botswana,Africa,Southern Africa,Marijuana (herb),,0.2,Gram,2014,,,
Burundi,Africa,Eastern Africa,Marijuana (herb),,0.1,Gram,2008,,,
Ghana,Africa,Western and Central Africa,Marijuana (herb),,0.8,Gram,2007,,,
Kenya,Africa,Eastern Africa,Hashish (resin),,6,Gram,2007,,,
Mauritius,Africa,Eastern Africa,Hashish (resin),,49.8,Gram,2013,,,
Niger,Africa,Western and Central Africa,Marijuana (herb),,,,,,,
Rwanda,Africa,Eastern Africa,Marijuana (herb),,0.1,Gram,2004,,,
South Africa,Africa,Southern Africa,Hashish (resin),,11,Gram,2008,,,
Swaziland,Africa,Southern Africa,Marijuana (herb),,0.4,Gram,2008,,,
Zambia,Africa,Southern Africa,Cannabis oil,,0.9,Gram,2008,,,
